Location,Gender,Age,Food_Satisfaction,Entertainment_Satisfaction,Cleanliness_Satisfaction,Amenities_Satisfaction,Staff_Satisfaction,Recommendation,Thinking_of_Moving
Chartwell,Female,70-79,5,4,3,3,2,Maybe,Maybe
Revera,Male,80-89,4,4,1,3,1,No,No
Chartwell,Female,80-89,5,3,3,4,3,No,Maybe
Chartwell,Female,90+,2,2,5,1,2,Yes,No
Bridlewood,Female,80-89,2,4,3,5,1,Maybe,No
Chartwell,Female,80-89,1,5,4,3,5,Yes,No
Maplewood,Female,70-79,1,5,3,4,2,Maybe,No
Chartwell,Female,90+,2,1,4,1,1,Maybe,No
Revera,Female,80-89,5,3,5,5,4,Maybe,No
Chartwell,Female,70-79,2,2,5,4,4,No,No
Redwoods,Male,80-89,1,1,1,5,1,No,Maybe
Redwoods,Female,80-89,2,3,4,3,3,Maybe,Yes
Chartwell,Male,70-79,2,4,4,1,3,Yes,Maybe
Maplewood,Female,80-89,5,5,2,4,2,No,Yes
Revera,Female,80-89,4,2,2,1,4,Yes,No
Maplewood,Female,70-79,1,5,2,3,3,No,No
Maplewood,Female,90+,5,4,3,1,3,Yes,No
Redwoods,Female,90+,2,3,2,1,4,Yes,No
Maplewood,Female,80-89,2,4,4,2,5,Yes,No
Chartwell,Female,80-89,4,4,3,1,3,Yes,No
Chartwell,Female,80-89,1,5,5,5,1,No,No
Chartwell,Female,80-89,1,2,1,4,2,Yes,No
Chartwell,Female,80-89,3,4,2,2,3,No,Maybe
Chartwell,Female,70-79,1,5,5,4,3,Yes,No
Chartwell,Female,80-89,4,2,4,4,5,No,No
Revera,Female,90+,3,3,1,3,1,No,No
Chartwell,Female,80-89,3,3,5,3,2,No,No
Chartwell,Female,70-79,2,1,1,2,3,Maybe,No
Redwoods,Female,90+,2,5,2,3,2,Yes,No
Chartwell,Female,80-89,1,2,4,3,4,Maybe,Yes
Revera,Male,80-89,3,4,1,3,3,Yes,No
Chartwell,Female,70-79,2,3,5,4,3,No,Yes
Maplewood,Female,80-89,4,2,2,2,4,No,No
Revera,Female,90+,2,5,2,4,5,Yes,No
Chartwell,Female,80-89,2,1,5,5,3,No,Maybe
Chartwell,Male,80-89,3,3,5,4,2,No,No
Revera,Male,90+,3,2,1,5,1,Yes,Yes
Revera,Female,90+,5,2,3,1,2,Yes,Maybe
Revera,Female,90+,4,2,2,1,5,Yes,Maybe
Revera,Female,80-89,3,5,1,5,1,Maybe,No
Chartwell,Female,80-89,1,5,5,5,2,No,No
Chartwell,Male,90+,4,5,1,4,2,Yes,Maybe
Chartwell,Female,90+,4,4,5,5,4,Yes,No
Maplewood,Female,70-79,3,2,4,2,5,No,Maybe
Revera,Male,70-79,4,3,5,1,4,Maybe,Yes
Chartwell,Female,80-89,3,5,5,1,1,Yes,No
Chartwell,Female,90+,2,5,5,5,4,Yes,No
Chartwell,Female,80-89,5,2,3,3,5,Maybe,No
Chartwell,Female,80-89,2,5,5,3,3,Yes,Maybe
Revera,Female,70-79,3,4,2,5,3,Yes,Maybe
Revera,Male,80-89,3,4,2,2,1,Maybe,No
Maplewood,Female,90+,2,5,1,3,3,No,Yes
Bridlewood,Female,80-89,1,2,3,5,4,Yes,Maybe
Chartwell,Female,90+,1,2,1,2,1,Yes,No
Revera,Female,90+,1,2,2,2,5,Yes,No
Revera,Female,80-89,3,1,2,4,1,Yes,No
Redwoods,Female,80-89,4,5,4,2,1,Maybe,Maybe
Revera,Female,80-89,3,2,5,3,2,Yes,Maybe
Bridlewood,Male,90+,4,4,2,3,2,Maybe,No
Redwoods,Male,80-89,2,3,1,5,1,Maybe,No
Chartwell,Male,80-89,5,3,1,5,3,Yes,Maybe
Chartwell,Female,90+,4,2,5,2,2,Yes,No
Chartwell,Female,80-89,1,3,5,1,5,No,No
Chartwell,Male,90+,3,3,4,4,4,Maybe,No
Revera,Female,80-89,2,1,3,1,2,Maybe,No
Chartwell,Female,70-79,1,4,1,2,1,Yes,No
Bridlewood,Female,80-89,2,4,5,2,3,No,Yes
Maplewood,Female,90+,5,1,1,1,4,No,No
Chartwell,Male,80-89,3,1,5,4,2,Maybe,No
Chartwell,Female,90+,3,3,2,1,3,Yes,No
Revera,Female,90+,5,5,1,5,3,No,Yes
Chartwell,Female,80-89,3,3,2,3,3,Maybe,No
Chartwell,Male,90+,4,1,1,5,1,Yes,No
Chartwell,Female,70-79,2,4,3,3,5,No,Yes
Chartwell,Male,80-89,1,3,4,2,3,Yes,Yes
Maplewood,Male,80-89,5,5,2,4,4,Yes,Maybe
Revera,Female,90+,4,3,5,1,2,Yes,Maybe
Revera,Female,80-89,1,2,3,4,4,Maybe,No
Maplewood,Female,70-79,1,3,1,1,1,Yes,Maybe
Revera,Male,80-89,5,1,2,5,1,No,No
Chartwell,Female,80-89,4,4,1,5,4,No,Maybe
Maplewood,Female,70-79,1,4,1,1,5,Yes,No
Redwoods,Male,90+,1,1,1,4,1,No,No
Revera,Female,90+,4,2,4,1,1,Maybe,Yes
Maplewood,Female,80-89,3,1,4,2,4,Maybe,No
Chartwell,Female,90+,1,3,5,5,1,No,Maybe
Chartwell,Female,80-89,2,1,2,2,5,No,No
Chartwell,Female,90+,4,1,3,5,5,Yes,No
Chartwell,Female,80-89,1,2,3,5,5,Maybe,Yes
Revera,Male,80-89,5,3,3,3,2,Yes,No
Maplewood,Female,70-79,2,5,1,2,5,Maybe,No
Chartwell,Female,90+,1,5,4,2,5,Yes,No
Bridlewood,Female,80-89,2,4,2,3,2,Maybe,Maybe
Chartwell,Female,70-79,2,1,1,4,3,Maybe,Yes
Chartwell,Female,60-69,3,4,4,2,1,Maybe,No
Chartwell,Male,80-89,2,2,4,1,5,Yes,Maybe
Chartwell,Male,80-89,3,5,2,3,1,No,No
Maplewood,Female,80-89,4,1,2,2,4,No,No
Chartwell,Male,90+,3,2,2,4,1,Maybe,No
Redwoods,Female,70-79,5,2,1,2,2,Yes,Maybe
Revera,Female,90+,1,1,5,5,1,Maybe,Yes
Chartwell,Female,80-89,4,2,2,1,1,Maybe,Maybe
Maplewood,Female,90+,4,1,5,3,1,Yes,Maybe
Maplewood,Female,90+,5,1,1,5,3,Maybe,No
Chartwell,Female,80-89,3,3,5,4,3,No,No
Bridlewood,Female,80-89,1,4,3,5,4,No,No
Chartwell,Female,80-89,3,2,5,5,2,Yes,No
Chartwell,Female,80-89,2,2,2,4,1,No,Maybe
Chartwell,Female,90+,3,3,1,5,1,Maybe,Maybe
Redwoods,Female,80-89,4,3,2,3,1,Yes,Yes
Bridlewood,Female,80-89,1,3,3,2,1,No,No
Chartwell,Female,80-89,3,5,2,5,3,No,No
Chartwell,Female,90+,1,5,2,3,4,No,No
Maplewood,Female,80-89,1,5,2,2,5,Yes,No
Chartwell,Female,80-89,2,1,4,2,2,Maybe,Yes
Chartwell,Female,80-89,2,2,3,5,1,No,No
Bridlewood,Female,90+,4,4,2,3,4,Yes,No
Maplewood,Female,70-79,5,1,2,5,5,Yes,No
Chartwell,Female,80-89,1,2,2,4,4,No,Maybe
Revera,Male,70-79,5,2,1,2,3,Maybe,Maybe
Revera,Female,80-89,4,3,4,5,5,Yes,No
Chartwell,Female,80-89,1,3,1,2,4,Maybe,No
Revera,Male,90+,1,1,4,3,3,Yes,No
Chartwell,Female,80-89,5,3,2,1,4,No,No
Revera,Male,80-89,3,2,3,5,4,Maybe,No
Revera,Female,80-89,2,3,5,5,5,Maybe,No
Redwoods,Female,90+,3,5,5,2,3,Yes,Yes
Chartwell,Male,80-89,5,3,2,3,1,No,Yes
Revera,Female,90+,2,2,1,4,2,Yes,Yes
Chartwell,Female,80-89,3,1,3,3,5,Yes,Yes
Chartwell,Female,70-79,2,4,4,5,3,Maybe,Yes
Chartwell,Male,80-89,1,3,2,4,4,Maybe,Maybe
Redwoods,Female,80-89,3,2,3,3,3,Yes,No
Revera,Female,80-89,2,4,3,1,2,Maybe,Yes
Chartwell,Female,70-79,2,4,4,2,2,No,No
Redwoods,Female,80-89,2,5,3,3,1,Yes,Maybe
Chartwell,Female,90+,3,4,1,3,1,No,No
Revera,Female,80-89,4,2,1,1,2,No,No
Chartwell,Female,90+,3,2,1,5,5,No,Maybe
Revera,Female,80-89,5,3,3,2,5,No,No
Chartwell,Male,80-89,3,3,1,3,4,No,No
Maplewood,Female,80-89,2,3,4,4,1,Yes,No
Chartwell,Female,80-89,1,4,3,3,4,Maybe,No
Chartwell,Female,80-89,3,4,5,2,1,No,No
Chartwell,Female,80-89,3,5,3,3,2,Yes,No
Maplewood,Female,70-79,2,3,4,1,5,Maybe,No
Maplewood,Female,80-89,1,1,5,3,5,Maybe,No
Chartwell,Male,80-89,1,5,3,3,2,Maybe,Yes
Revera,Female,90+,5,1,1,4,4,Yes,No
Revera,Female,90+,3,4,2,1,4,Yes,No
Redwoods,Male,90+,1,5,2,1,3,No,Maybe
Redwoods,Female,90+,1,5,1,3,1,Yes,No
Chartwell,Female,80-89,4,2,2,4,4,Maybe,No
Chartwell,Male,80-89,4,4,2,3,2,Yes,No
Maplewood,Female,90+,1,4,1,3,4,Yes,Yes
Maplewood,Female,80-89,5,5,1,2,5,Yes,Yes
Revera,Female,80-89,1,4,3,2,1,Yes,No
Chartwell,Male,70-79,2,5,3,4,3,Maybe,Yes
Chartwell,Female,80-89,3,2,1,5,1,No,No
Revera,Female,80-89,5,5,4,2,5,Yes,Maybe
Maplewood,Female,90+,2,4,2,5,5,Yes,Yes
Maplewood,Female,80-89,5,4,3,1,5,No,No
Revera,Male,80-89,2,5,2,2,5,Yes,No
Revera,Female,90+,3,5,5,2,2,No,No
Chartwell,Male,70-79,3,5,1,4,3,No,No
Chartwell,Male,80-89,4,3,4,5,5,Maybe,No
Maplewood,Female,70-79,2,4,5,2,5,Maybe,No
Redwoods,Female,90+,4,4,5,2,4,Maybe,No
Chartwell,Female,90+,2,3,5,4,3,Maybe,Maybe
Chartwell,Female,80-89,4,5,1,4,1,Yes,No
Revera,Female,90+,3,2,3,5,3,Yes,Yes
Chartwell,Female,80-89,5,5,1,1,3,Yes,Maybe
Chartwell,Female,90+,4,5,3,1,3,Maybe,No
Redwoods,Female,90+,2,3,5,3,5,Maybe,No
Revera,Female,90+,2,4,5,2,5,Maybe,No
Revera,Male,60-69,3,5,4,5,2,Yes,Yes
Chartwell,Female,90+,2,4,3,2,1,Maybe,No
Revera,Female,90+,1,1,5,5,4,Yes,No
Chartwell,Male,80-89,5,4,2,5,3,Yes,No
Chartwell,Male,90+,4,2,4,5,1,Yes,No
Revera,Female,80-89,5,2,1,2,1,Yes,Maybe
Revera,Female,90+,3,5,4,4,2,No,No
Maplewood,Female,70-79,4,4,2,2,4,Yes,Yes
Revera,Female,80-89,4,5,3,5,3,No,No
Redwoods,Male,80-89,1,3,1,3,4,No,No
Chartwell,Female,70-79,3,2,1,1,2,Maybe,Maybe
Chartwell,Female,80-89,2,5,3,5,5,No,No
Chartwell,Female,60-69,1,3,4,3,1,Yes,Yes
Chartwell,Female,80-89,1,5,5,4,3,Maybe,No
Maplewood,Female,80-89,5,4,4,5,5,Maybe,No
Chartwell,Female,80-89,5,4,2,3,2,Yes,Yes
Maplewood,Female,80-89,5,4,5,5,4,No,No
Revera,Female,80-89,1,4,4,2,1,Yes,No
Revera,Female,90+,2,1,3,3,3,Yes,No
Bridlewood,Male,70-79,4,3,2,2,5,No,No
Redwoods,Male,90+,5,3,2,2,5,Maybe,No
Bridlewood,Male,90+,2,4,2,3,1,Yes,Maybe
Chartwell,Female,80-89,3,1,5,1,4,Maybe,Maybe
Revera,Female,80-89,5,4,1,3,2,Maybe,Maybe
Chartwell,Female,90+,4,1,5,1,4,Maybe,Maybe
Chartwell,Female,80-89,3,4,4,5,4,Yes,Yes
Revera,Female,70-79,3,2,1,5,4,Maybe,No
Chartwell,Male,80-89,4,2,4,3,1,Yes,No
Maplewood,Female,90+,5,5,1,5,1,No,Maybe
Maplewood,Female,70-79,1,4,5,4,2,Yes,No
Maplewood,Female,80-89,4,3,2,2,4,Yes,Maybe
Chartwell,Female,90+,4,5,3,2,1,Maybe,No
Chartwell,Female,90+,4,2,2,1,2,No,Maybe
Maplewood,Female,80-89,3,4,5,5,2,Yes,Yes
Chartwell,Male,70-79,2,5,1,1,4,Yes,No
Maplewood,Male,90+,1,4,2,2,3,No,Maybe
Maplewood,Female,80-89,5,2,5,2,4,Yes,Yes
Maplewood,Female,70-79,5,5,4,5,3,Maybe,Maybe
Chartwell,Female,70-79,2,2,3,4,2,Yes,Yes
Chartwell,Female,90+,4,1,2,4,1,Yes,No
Maplewood,Male,80-89,1,2,1,5,5,Yes,No
Chartwell,Male,90+,5,4,4,5,2,No,No
Chartwell,Female,90+,5,3,5,1,1,Yes,No
Redwoods,Female,80-89,4,2,3,5,2,Yes,No
Maplewood,Male,80-89,2,3,1,4,4,Maybe,Yes
Revera,Female,80-89,1,1,5,5,3,No,Yes
Redwoods,Male,80-89,2,5,5,1,2,Yes,No
Chartwell,Female,80-89,2,5,2,1,1,Yes,No
Revera,Female,90+,1,3,2,1,4,Maybe,Maybe
Maplewood,Female,80-89,1,5,1,1,5,Yes,No
Chartwell,Female,90+,5,2,5,3,4,Yes,No
Redwoods,Female,80-89,5,3,2,5,3,Maybe,No
Maplewood,Male,80-89,1,4,3,2,4,No,Yes
Revera,Male,80-89,3,2,3,5,5,No,No
Revera,Female,80-89,5,2,5,3,1,Yes,Maybe
Revera,Female,80-89,3,2,2,1,2,Yes,Maybe
Chartwell,Female,80-89,1,4,1,3,3,No,No
Chartwell,Female,80-89,5,1,1,4,5,Yes,No
Revera,Female,70-79,2,5,1,4,3,No,Maybe
Revera,Female,80-89,1,3,3,5,4,No,No
Maplewood,Female,80-89,4,1,2,5,3,Yes,Yes
Maplewood,Male,80-89,3,3,2,2,5,Maybe,Yes
Redwoods,Female,90+,1,5,3,2,2,Maybe,No
Bridlewood,Male,80-89,1,4,1,4,2,Maybe,Maybe
Revera,Female,90+,5,2,1,1,3,Yes,No
Revera,Female,80-89,5,2,5,3,1,Yes,Yes
Revera,Male,80-89,5,4,4,2,3,No,No
Revera,Female,70-79,4,1,2,2,4,Yes,Maybe
Maplewood,Female,80-89,5,1,2,1,2,Maybe,Maybe
Chartwell,Female,80-89,1,3,2,1,2,Yes,No
Chartwell,Female,80-89,5,4,4,5,2,No,No
Chartwell,Male,70-79,2,1,5,3,1,Yes,Yes
Redwoods,Female,70-79,5,4,4,1,1,No,Maybe
Chartwell,Female,80-89,4,5,1,2,5,Yes,Maybe
Bridlewood,Male,90+,2,2,1,2,3,Yes,No
Redwoods,Female,80-89,1,2,2,4,3,Yes,No
Chartwell,Male,80-89,1,2,3,1,4,Maybe,No
Redwoods,Male,80-89,3,4,2,5,2,Yes,Yes
Chartwell,Female,80-89,2,4,3,3,1,Maybe,No
Chartwell,Male,80-89,3,3,4,5,4,Maybe,No
Revera,Female,80-89,2,2,1,2,4,Yes,No
Chartwell,Female,80-89,2,3,3,5,1,Maybe,No
Chartwell,Female,60-69,4,2,4,2,3,Yes,No
Redwoods,Male,60-69,3,3,1,2,2,Maybe,No
Revera,Male,80-89,4,3,3,2,3,No,No
Chartwell,Male,70-79,2,5,2,2,4,Yes,Yes
Revera,Female,70-79,1,3,2,2,2,Yes,No
Chartwell,Female,80-89,2,4,2,4,5,Yes,No
Chartwell,Male,90+,4,3,4,5,4,Maybe,No
Redwoods,Female,80-89,3,2,2,4,3,Yes,Maybe
Redwoods,Male,80-89,3,3,5,4,3,No,Maybe
Revera,Female,80-89,4,1,1,1,3,Yes,Maybe
Revera,Female,90+,3,2,4,1,1,Maybe,No
Maplewood,Female,80-89,5,1,2,1,4,Yes,Yes
Redwoods,Female,70-79,1,2,1,3,2,No,No
Chartwell,Female,80-89,1,4,3,1,3,No,No
Revera,Female,70-79,1,4,2,5,3,No,No
Chartwell,Female,80-89,3,4,1,4,1,Yes,Yes
Chartwell,Male,80-89,3,1,5,5,2,Yes,Maybe
Chartwell,Female,90+,2,5,3,1,4,Yes,Yes
Chartwell,Female,80-89,2,2,5,3,5,Maybe,Maybe
Maplewood,Female,80-89,1,4,1,3,1,Yes,Maybe
Revera,Female,90+,5,2,5,4,4,No,No
Revera,Female,70-79,2,1,1,5,5,Yes,Maybe
Chartwell,Female,80-89,2,5,1,2,3,Maybe,No
Chartwell,Female,80-89,3,1,5,5,3,Maybe,Maybe
Chartwell,Male,80-89,5,2,1,1,2,No,No
Chartwell,Male,80-89,1,5,2,2,5,Yes,Maybe
Redwoods,Female,90+,2,5,1,3,3,Yes,No
Revera,Male,80-89,5,1,4,4,3,Yes,Maybe
Revera,Female,80-89,5,4,1,4,2,Yes,No
Chartwell,Male,80-89,1,2,4,3,4,No,No
Maplewood,Female,90+,5,3,1,1,3,No,Maybe
Revera,Female,90+,5,3,1,3,1,Maybe,Maybe
Redwoods,Male,90+,5,1,5,1,1,Yes,No
Redwoods,Female,60-69,2,2,2,2,4,No,No
Chartwell,Female,80-89,1,2,2,3,5,No,No
Chartwell,Female,70-79,5,1,3,1,2,No,Maybe
Chartwell,Female,80-89,5,2,5,2,1,Yes,Maybe
Revera,Female,70-79,2,4,5,3,1,No,Maybe
Chartwell,Male,80-89,1,1,2,4,4,No,Yes
Chartwell,Female,80-89,3,4,5,3,5,No,No
Chartwell,Female,70-79,2,2,2,5,5,Maybe,No
Chartwell,Female,80-89,1,1,5,3,4,Yes,Maybe
Maplewood,Male,80-89,5,2,1,5,1,Yes,Yes
Revera,Female,80-89,1,1,2,2,2,No,Maybe
Bridlewood,Male,70-79,1,2,2,3,1,No,No
Chartwell,Male,80-89,1,4,4,2,5,Yes,No
Bridlewood,Female,90+,3,4,5,2,1,Maybe,No
Bridlewood,Female,70-79,1,2,5,1,2,Maybe,No
Chartwell,Female,70-79,3,1,2,2,3,Maybe,No
Chartwell,Female,80-89,5,3,1,2,1,Yes,Yes
Chartwell,Female,90+,3,4,1,3,4,Maybe,Yes
Revera,Female,80-89,5,4,1,3,3,No,Maybe
Revera,Female,80-89,5,3,5,4,4,No,Yes
Chartwell,Female,80-89,3,2,4,1,4,No,No
Chartwell,Female,80-89,2,1,2,2,4,Maybe,No
Revera,Male,60-69,4,2,3,1,1,No,No
Bridlewood,Female,80-89,1,5,4,5,5,Yes,Maybe
Maplewood,Female,90+,4,4,3,2,3,No,No
Revera,Female,80-89,1,5,4,1,2,No,Maybe
Chartwell,Female,90+,1,4,1,4,5,Yes,No
Chartwell,Female,80-89,5,4,5,4,1,Maybe,Yes
Revera,Female,70-79,1,5,3,2,4,No,Yes
Chartwell,Female,90+,1,5,4,5,2,No,No
Redwoods,Female,70-79,3,2,5,4,3,Yes,No
Maplewood,Female,80-89,4,5,3,4,5,No,Maybe
Redwoods,Female,70-79,3,2,2,5,5,Yes,No
Chartwell,Female,60-69,1,2,4,1,2,Yes,No
Revera,Male,80-89,5,2,2,4,1,No,Yes
Chartwell,Female,80-89,3,4,1,3,3,Yes,No
Redwoods,Female,80-89,3,4,2,4,2,No,No
Maplewood,Female,80-89,2,5,2,1,4,Yes,No
Chartwell,Male,70-79,1,4,4,1,3,Yes,No
Maplewood,Female,70-79,5,5,1,2,5,Yes,Yes
Maplewood,Female,80-89,3,4,2,3,2,Maybe,No
Chartwell,Male,80-89,3,1,5,1,5,No,Maybe
Chartwell,Female,90+,5,1,3,5,5,No,No
Chartwell,Female,80-89,1,5,2,3,5,Yes,No
Chartwell,Male,90+,2,4,1,3,1,Yes,Maybe
Chartwell,Female,80-89,3,4,2,5,5,Maybe,No
Revera,Female,80-89,2,2,3,4,4,Yes,No
Chartwell,Female,80-89,4,3,1,5,4,Yes,Yes
Chartwell,Female,80-89,1,5,4,5,3,No,No
Maplewood,Female,80-89,4,3,1,4,5,Yes,Yes
Chartwell,Female,90+,4,3,4,4,5,Maybe,Maybe
Revera,Female,80-89,4,5,1,4,2,No,No
Chartwell,Female,90+,1,4,3,4,1,Yes,Maybe
Chartwell,Male,90+,1,5,3,4,3,Yes,No
Revera,Female,90+,5,3,1,5,5,Yes,No
Revera,Female,90+,2,4,2,2,2,Maybe,No
Maplewood,Female,80-89,2,1,3,2,1,No,Maybe
Revera,Female,80-89,5,5,4,1,3,Yes,Maybe
Revera,Female,80-89,5,5,4,2,3,Yes,No
Chartwell,Female,80-89,4,4,5,2,5,No,Maybe
Chartwell,Male,80-89,5,1,4,5,3,No,No
Revera,Female,80-89,3,1,5,4,2,Yes,No
Revera,Female,80-89,2,4,1,4,3,Yes,No
Maplewood,Female,80-89,5,2,1,5,4,Yes,No
Chartwell,Male,80-89,3,5,1,2,2,No,Yes
Chartwell,Male,80-89,3,5,2,5,1,Maybe,No
Revera,Female,70-79,3,3,2,1,1,Yes,No
Chartwell,Female,90+,3,4,5,4,5,No,No
Maplewood,Female,80-89,4,3,4,3,5,Yes,No
Maplewood,Female,70-79,3,3,4,1,4,No,Maybe
Chartwell,Female,70-79,4,1,1,1,1,Yes,No
Revera,Female,80-89,4,5,3,5,1,Maybe,No
Revera,Female,80-89,3,3,2,2,1,No,Yes
Chartwell,Male,80-89,2,1,2,4,1,No,Yes
Maplewood,Male,70-79,3,4,1,3,3,Yes,Maybe
Bridlewood,Male,80-89,3,3,2,1,2,Yes,No
Revera,Female,80-89,3,5,1,3,2,Yes,Maybe
Chartwell,Female,80-89,2,3,5,2,4,Maybe,Yes
Maplewood,Female,80-89,1,4,4,2,3,Yes,No
Chartwell,Female,80-89,1,3,3,3,1,No,No
Chartwell,Female,80-89,4,5,4,4,1,Yes,No
Maplewood,Female,90+,4,1,4,2,5,Yes,Yes
Chartwell,Female,80-89,2,5,5,3,5,No,Yes
Chartwell,Male,80-89,5,1,2,1,4,Yes,No
Maplewood,Male,70-79,1,2,3,3,1,Yes,Yes
Maplewood,Female,80-89,4,5,2,3,4,Yes,Maybe
Redwoods,Male,70-79,1,5,4,5,3,No,No
Revera,Female,80-89,2,4,1,2,2,No,Yes
Chartwell,Female,90+,2,3,4,4,1,Yes,No
Chartwell,Male,80-89,5,1,2,4,3,No,No
Chartwell,Male,70-79,5,1,4,5,1,Yes,Yes
Revera,Female,70-79,2,4,1,4,5,Yes,Maybe
Revera,Female,80-89,4,4,5,3,4,Yes,Maybe
Revera,Female,70-79,1,3,2,5,5,Maybe,No
Revera,Female,70-79,3,3,4,1,2,Yes,No
Chartwell,Male,90+,5,5,2,2,5,Yes,Yes
Bridlewood,Male,80-89,3,2,5,2,1,Yes,No
Chartwell,Female,80-89,4,3,4,2,5,Yes,No
Redwoods,Female,90+,5,4,4,3,1,No,No
Chartwell,Male,70-79,3,3,2,1,2,Yes,No
Maplewood,Female,90+,4,1,2,5,5,Yes,No
Chartwell,Female,80-89,1,2,1,5,4,No,No
Chartwell,Female,90+,4,5,5,2,4,Yes,No
Chartwell,Female,80-89,5,1,1,1,4,No,No
Revera,Female,90+,2,1,4,1,5,No,No
Revera,Female,90+,1,2,2,1,5,Yes,Maybe
Chartwell,Female,80-89,3,5,4,4,5,No,Yes
Chartwell,Male,90+,5,4,4,4,1,Yes,Maybe
Revera,Male,80-89,2,5,3,2,2,No,No
Chartwell,Female,80-89,4,3,3,1,4,Yes,Yes
Revera,Female,80-89,2,1,4,1,1,Yes,No
Revera,Male,80-89,5,3,2,5,4,No,No
Chartwell,Female,70-79,5,4,4,5,1,Maybe,Maybe
Chartwell,Female,80-89,2,3,3,2,5,Maybe,Yes
Maplewood,Male,80-89,4,5,2,1,4,No,No
Chartwell,Female,90+,2,3,4,2,5,Yes,No
Chartwell,Female,90+,5,4,5,5,4,Yes,Maybe
Revera,Female,80-89,5,4,5,5,3,Yes,No
Maplewood,Male,80-89,3,4,4,4,1,No,Maybe
Maplewood,Female,80-89,3,5,2,2,3,Yes,Maybe
Revera,Female,80-89,1,4,4,2,1,Maybe,No
Chartwell,Female,70-79,5,1,4,1,2,Yes,Maybe
Chartwell,Female,80-89,3,4,3,1,4,Yes,Maybe
Revera,Female,80-89,2,3,5,4,2,Yes,No
Redwoods,Female,90+,4,3,3,3,2,Maybe,No
Chartwell,Female,80-89,2,3,3,3,1,No,No
Maplewood,Female,80-89,4,5,4,3,3,No,No
Chartwell,Male,80-89,3,3,3,2,5,Yes,Yes
Bridlewood,Female,70-79,1,5,5,2,1,Maybe,No
Chartwell,Female,80-89,2,5,3,5,5,Yes,No
Bridlewood,Female,80-89,2,4,5,2,2,Maybe,No
Chartwell,Male,80-89,2,1,3,2,5,No,Yes
Chartwell,Female,80-89,4,4,5,2,3,Yes,Maybe
Chartwell,Female,90+,3,4,3,4,1,No,No
Revera,Female,90+,2,5,3,2,3,No,Yes
Revera,Male,80-89,2,5,2,1,3,Yes,No
Redwoods,Female,80-89,1,3,5,1,1,Maybe,No
Maplewood,Female,80-89,1,3,5,5,3,No,Maybe
Chartwell,Male,80-89,3,4,5,4,4,Yes,Yes
Chartwell,Female,80-89,3,2,1,1,4,Yes,No
Maplewood,Female,70-79,5,2,3,4,4,Yes,Maybe
Chartwell,Female,80-89,1,3,5,4,5,No,Maybe
Maplewood,Female,80-89,5,2,1,5,3,Yes,No
Chartwell,Female,80-89,4,3,2,4,1,No,Maybe
Maplewood,Female,90+,5,5,5,2,1,Yes,Yes
Chartwell,Female,90+,2,4,5,4,5,Maybe,No
Maplewood,Female,80-89,5,1,1,5,1,No,No
Redwoods,Female,80-89,3,4,3,5,4,Maybe,No
Maplewood,Female,90+,4,3,2,5,3,Yes,Maybe
